type,id,position_km,locker_capacity,service_time,service_energy,demand_weight,release_time,feasible_lockers
station,1,0.0,5.0,1.5,12.0,,,
station,2,1.602,5.0,1.5,12.0,,,
station,3,2.33,5.0,1.5,12.0,,,
station,4,3.415,5.48,1.5,12.0,,,
station,5,4.406,5.0,1.5,12.0,,,
station,6,6.79,5.0,1.5,12.0,,,
order,1,,,,,0.39,4.71,2;5
order,2,,,,,0.57,18.21,2;4
order,3,,,,,0.31,39.53,1;2;5
order,4,,,,,1.27,14.33,3;4;6
order,5,,,,,0.32,48.22,3;5;6
order,6,,,,,0.94,1.72,2;4;5
order,7,,,,,1.24,47.73,2;5;6
order,8,,,,,0.32,19.0,5;6
order,9,,,,,1.23,52.96,3;4
order,10,,,,,0.74,19.01,2;3
order,11,,,,,0.44,48.46,2;3;4
order,12,,,,,0.36,30.33,2;3
order,13,,,,,0.93,12.69,1;4;5
order,14,,,,,1.62,21.02,1;4
order,15,,,,,1.56,24.56,1;2;5
order,16,,,,,1.64,1.53,3;4;5
