type,id,position_km,locker_capacity,service_time,service_energy,demand_weight,release_time,feasible_lockers
station,1,0.0,5.0,1.5,12.0,,,
station,2,1.602,5.0,1.5,12.0,,,
station,3,2.33,5.0,1.5,12.0,,,
station,4,3.415,5.0,1.5,12.0,,,
station,5,4.406,5.0,1.5,12.0,,,
station,6,6.79,5.0,1.5,12.0,,,
order,1,,,,,0.39,4.71,2;5
order,2,,,,,0.57,18.21,2;4
order,3,,,,,0.31,39.53,1;2;5
order,4,,,,,1.27,14.33,3;4;6
order,5,,,,,0.32,48.22,3;5;6
order,6,,,,,0.94,1.72,2;4;5
order,7,,,,,1.24,47.73,2;5;6
order,8,,,,,0.32,19.0,5;6
order,9,,,,,1.23,52.96,3;4
order,10,,,,,0.74,19.01,2;3
